Brand,Type,Color,Name,TD,Owned,Uuid
BambuLab,PLA Silk+,#A8C6EE,Baby Blue,3.0,false,{f258b681-61b3-47ab-84e5-3c632162bbe0}
BambuLab,PLA Silk+,#008BDA,Blue,3.0,false,{59888e10-1040-44f2-a6b6-a15460adc9cf}
BambuLab,PLA Silk+,#018814,Candy Green,3.0,false,{590e9502-85d8-480c-8dac-79f035321316}
BambuLab,PLA Silk+,#D02727,Candy Red,3.0,false,{29b60f66-8926-4d7d-95e4-18549130cbe3}
BambuLab,PLA Silk+,#F3CFB2,Champagne,3.0,false,{3d159647-181c-4390-8c31-cfa4413db09a}
BambuLab,PLA Silk+,#F4A925,Gold,3.0,false,{d27a2c9e-d4b2-4744-825f-163f761f7deb}
BambuLab,PLA Silk+,#96DCB9,Mint,3.0,false,{11a81ed7-453d-4299-a36c-ac2d5b369227}
BambuLab,PLA Silk+,#F7ADA6,Pink,3.0,false,{4c811c7a-7902-4706-a1d8-d43507c75bb0}
BambuLab,PLA Silk+,#8671CB,Purple,3.0,false,{1501a14d-8dc1-4a81-a674-d44848dc44b9}
BambuLab,PLA Silk+,#BA9594,Rose Gold,3.0,false,{0976c848-9895-488d-acee-e4c171b7c03d}
BambuLab,PLA Silk+,#C8C8C8,Silver,3.0,false,{2147a356-dfa4-4db3-ac75-7ab17d508453}
BambuLab,PLA Silk+,#5F6367,Titan Gray,3.0,false,{8581e4c7-f91b-4dbb-a76c-c9a6e9595402}
BambuLab,PLA Silk+,#FFFFFF,White,3.0,false,{bf35e0d4-aefd-4661-b8bf-a25a1d6514f3}
BambuLab Basic,PETG,#000000,Black,3.5,false,{b4e82e5b-8cc1-4cbb-976d-8aec327443b2}
BambuLab Basic,PETG,#000E5B,Blue,2.5,false,{39d49e89-fbd1-4c96-bffe-d297a41d4ef7}
BambuLab Basic,PETG,#606E81,Blue Gray,2.7,false,{938a676a-87cf-43d1-8a71-9dcca6db4e77}
BambuLab Basic,PETG,#B28B33,Gold,1.7,false,{17f0954b-29d4-4958-bfb5-70ca6a8a2fd2}
BambuLab Basic,PETG,#9EA2A2,Gray,3,false,{3d77a198-9003-411a-a0fd-5dc731cebceb}
BambuLab Basic,PETG,#009639,Green,1.7,false,{0a4feb5b-e6d0-4bad-a9a2-3c0a02ff8d9d}
BambuLab Basic,PETG,#0069B1,Lake Blue,4,false,{62e50775-c5f9-4896-8ce1-29bff6339584}
BambuLab Basic,PETG,#B7DB57,Lime Green,2.7,false,{7bdd1b59-c2f6-4fd2-8948-257406af7341}
BambuLab Basic,PETG,#F2EADA,Nature,8,false,{6119f4f9-2b3c-4c9f-95b4-3dcfa1226d0a}
BambuLab Basic,PETG,#FF671F,Orange,4.5,false,{eed618fd-c51d-42a4-b971-50cc031aba7b}
